Date,Close
1/2/2014,40.58
1/3/2014,40.43
1/6/2014,38.39
1/7/2014,38.2
1/8/2014,38.06
1/9/2014,47
1/10/2014,48.94
1/13/2014,49.73
1/14/2014,51
1/15/2014,51
1/16/2014,48.69
1/17/2014,48.39
1/21/2014,51.36
1/22/2014,49.86
1/23/2014,48.6
1/24/2014,49.15
1/27/2014,47.03
1/28/2014,50.39
1/29/2014,51.53
1/30/2014,54.01
1/31/2014,56.09
2/3/2014,55.39
2/4/2014,59.57
2/5/2014,63.71
2/6/2014,57.71
2/7/2014,61.85
2/10/2014,61.64
2/11/2014,64
2/12/2014,63.42
2/13/2014,61.72
2/14/2014,61.57
2/18/2014,60.55
2/19/2014,57.44
2/20/2014,57.45
2/21/2014,56.26
2/24/2014,59.49
2/25/2014,59.79
2/26/2014,60.94
2/27/2014,64.57
2/28/2014,65.91
3/3/2014,66.95
3/4/2014,71.01
3/5/2014,74.19
3/6/2014,72.11
3/7/2014,72.43
3/10/2014,77.28
3/11/2014,82.4
3/12/2014,83.05
3/13/2014,80.93
3/14/2014,74.69
3/17/2014,73.11
3/18/2014,72.39
3/19/2014,72.8
3/20/2014,68.52
3/21/2014,66.83
3/24/2014,64.98
3/25/2014,66.19
3/26/2014,61.66
3/27/2014,60.26
3/28/2014,55.84
3/31/2014,59.37
4/1/2014,59.02
4/2/2014,57.45
4/3/2014,56.72
4/4/2014,52.27
4/7/2014,51.34
4/8/2014,52.74
4/9/2014,56.05
4/10/2014,53.6
4/11/2014,48.25
4/14/2014,45.58
4/15/2014,44
4/16/2014,44.64
4/17/2014,46.2
4/21/2014,46.04
4/22/2014,60.86
4/23/2014,69.32
4/24/2014,67.9
4/25/2014,62.12
4/28/2014,65.24
4/29/2014,67.77
4/30/2014,73.1
5/1/2014,73.92
5/2/2014,71.47
5/5/2014,76.26
5/6/2014,74.49
5/7/2014,69.81
5/8/2014,70.73
5/9/2014,68.62
5/12/2014,69.77
5/13/2014,70.77
5/14/2014,71.49
5/15/2014,69.58
5/16/2014,68.31
5/19/2014,69.94
5/20/2014,67.83
5/21/2014,66.36
5/22/2014,66.16
5/23/2014,67.71
5/27/2014,68.09
5/28/2014,68.76
5/29/2014,69.51
5/30/2014,68.17
6/2/2014,67.36
6/3/2014,67.08
6/4/2014,67.8
6/5/2014,67.78
6/6/2014,71.99
6/9/2014,75.29
6/10/2014,75.49
6/11/2014,75.13
6/12/2014,77.4
6/13/2014,77.4
6/16/2014,77.25
6/17/2014,89.82
6/18/2014,86.83
6/19/2014,88.02
6/20/2014,93.17
6/23/2014,93.77
6/24/2014,91.11
6/25/2014,92.61
6/26/2014,94.18
6/27/2014,96.14
6/30/2014,107.29
7/1/2014,107.35
7/2/2014,104.92
7/3/2014,103.57
7/7/2014,96.49
7/8/2014,87.6
7/9/2014,91.16
7/10/2014,90.45
7/11/2014,89.67
7/14/2014,88.8
7/15/2014,83.28
7/16/2014,84.06
7/17/2014,80.7
7/18/2014,83.54
7/21/2014,86.61
7/22/2014,88.24
7/23/2014,86.68
7/24/2014,86.97
7/25/2014,84.88
7/28/2014,84.51
7/29/2014,88.55
7/30/2014,87.68
7/31/2014,84.6
8/1/2014,83.44
8/4/2014,83.53
8/5/2014,83.35
8/6/2014,82.87
8/7/2014,82.12
8/8/2014,82.77
8/11/2014,89.22
8/12/2014,86.26
8/13/2014,89.55
8/14/2014,90.36
8/15/2014,89.15
8/18/2014,92.16
8/19/2014,91.23
8/20/2014,91
8/21/2014,89.05
8/22/2014,90.43
8/25/2014,89.55
8/26/2014,95.35
8/27/2014,94.25
8/28/2014,91.19
8/29/2014,91.52
9/2/2014,87.67
9/3/2014,87.34
9/4/2014,87.77
9/5/2014,88.02
9/8/2014,89.91
9/9/2014,89.04
9/10/2014,89.68
9/11/2014,91.69
9/12/2014,89.63
9/15/2014,85.63
9/16/2014,88.44
9/17/2014,88.56
9/18/2014,87.88
9/19/2014,86.7
9/22/2014,87.33
9/23/2014,87.33
9/24/2014,86.81
9/25/2014,84.13
9/26/2014,84.47
9/29/2014,85.69
9/30/2014,80.85
10/1/2014,76.13
10/2/2014,79.7
10/3/2014,82.33
10/6/2014,82.03
10/7/2014,79.8
10/8/2014,80.95
10/9/2014,77.29
10/10/2014,72
10/13/2014,71.44
10/14/2014,65.2
10/15/2014,61.55
10/16/2014,63.09
10/17/2014,63.46
10/20/2014,67.99
10/21/2014,73.04
10/22/2014,71.7
10/23/2014,73.02
10/24/2014,72.77
10/27/2014,74.12
10/28/2014,75.47
10/29/2014,71.92
10/30/2014,70.46
10/31/2014,73.75
11/3/2014,74.11
11/4/2014,73.32
11/5/2014,71.34
11/6/2014,74.38
11/7/2014,73.97
11/10/2014,73.95
11/11/2014,74.77
11/12/2014,75.32
11/13/2014,75.84
11/14/2014,75.63
11/17/2014,76.56
11/18/2014,80.5
11/19/2014,78.56
11/20/2014,78.92
11/21/2014,78.95
11/24/2014,79.15
11/25/2014,80.2
11/26/2014,80.2
11/28/2014,77.43
12/1/2014,71.63
12/2/2014,68.66
12/3/2014,76.01
12/4/2014,74.55
12/5/2014,72.94
12/8/2014,69.61
12/9/2014,74.61
12/10/2014,71.56
12/11/2014,71.23
12/12/2014,72.41
12/15/2014,68.13
12/16/2014,67.64
12/17/2014,70.08
12/18/2014,68.09
12/19/2014,70.23
12/22/2014,70.32
12/23/2014,66.26
12/24/2014,68.08
12/26/2014,68.13
12/29/2014,67.17
12/30/2014,67.29
12/31/2014,67.68
1/2/2015,70.04
1/5/2015,70.58
1/6/2015,69.61
1/7/2015,71.06
1/8/2015,80.11
1/9/2015,78.53
1/12/2015,78.73
1/13/2015,78.8
1/14/2015,79.04
1/15/2015,73.91
1/16/2015,75.17
1/20/2015,76.82
1/21/2015,77.07
1/22/2015,74.89
1/23/2015,75.4
1/26/2015,76.3
1/27/2015,76.61
1/28/2015,74.64
1/29/2015,74.86
1/30/2015,72.97
2/2/2015,73.34
2/3/2015,74.87
2/4/2015,74.08
2/5/2015,75.02
2/6/2015,74.9
2/9/2015,74.8
2/10/2015,74.81
2/11/2015,75.15
2/12/2015,76.39
2/13/2015,78.09
2/17/2015,81.03
2/18/2015,83.01
2/19/2015,84.5
2/20/2015,84.89
2/23/2015,82.99
2/24/2015,81.76
2/25/2015,83.3
2/26/2015,83.1
2/27/2015,80.92
3/2/2015,80.28
3/3/2015,79.55
3/4/2015,81.57
3/5/2015,82.94
3/6/2015,83.26
3/9/2015,83.32
3/10/2015,83.52
3/11/2015,84.48
3/12/2015,84.58
3/13/2015,95.66
3/16/2015,99.99
3/17/2015,100.48
3/18/2015,97.2
3/19/2015,94.75
3/20/2015,94.62
3/23/2015,92.65
3/24/2015,91.61
3/25/2015,87.39
3/26/2015,87.32
3/27/2015,86.46
3/30/2015,88.4
3/31/2015,91.13
4/1/2015,90.61
4/2/2015,90.88
4/6/2015,91.14
4/7/2015,91.39
4/8/2015,90.58
4/9/2015,90.94
4/10/2015,91.32
4/13/2015,96.18
4/14/2015,108.75
4/15/2015,108.8
4/16/2015,109.16
4/17/2015,114
4/20/2015,113.5
4/21/2015,113.09
4/22/2015,113.04
4/23/2015,120.77
4/24/2015,121
4/27/2015,115.23
4/28/2015,114.04
4/29/2015,110.69
4/30/2015,104.65
5/1/2015,109.13
5/4/2015,110.2
5/5/2015,107.9
5/6/2015,108.79
5/7/2015,110.12
