Date,Close
1/2/2014,103.32
1/3/2014,103.09
1/6/2014,101.75
1/7/2014,102.08
1/8/2014,102
1/9/2014,102.12
1/10/2014,102.52
1/13/2014,100.23
1/14/2014,100.93
1/15/2014,101.05
1/16/2014,100.49
1/17/2014,99.91
1/21/2014,98.57
1/22/2014,98.99
1/23/2014,97.94
1/24/2014,96.33
1/27/2014,95.17
1/28/2014,95.81
1/29/2014,95.33
1/30/2014,95.78
1/31/2014,95.23
2/3/2014,93.62
2/4/2014,93.89
2/5/2014,93.76
2/6/2014,94.74
2/7/2014,95.37
2/10/2014,94.73
2/11/2014,96.16
2/12/2014,96.03
2/13/2014,96.56
2/14/2014,97.24
2/18/2014,96.49
2/19/2014,95.18
2/20/2014,95.67
2/21/2014,96.11
2/24/2014,95.95
2/25/2014,95.45
2/26/2014,95.2
2/27/2014,95.55
2/28/2014,95.77
3/3/2014,95.78
3/4/2014,96.98
3/5/2014,97.08
3/6/2014,97.86
3/7/2014,98.22
3/10/2014,98.74
3/11/2014,98.31
3/12/2014,98.52
3/13/2014,97.1
3/14/2014,96.27
3/17/2014,96.99
3/18/2014,97.41
3/19/2014,96.95
3/20/2014,96.91
3/21/2014,96.86
3/24/2014,97.34
3/25/2014,97.65
3/26/2014,96.75
3/27/2014,97.05
3/28/2014,97.34
3/31/2014,97.38
4/1/2014,97.34
4/2/2014,97.97
4/3/2014,98.52
4/4/2014,98.1
4/7/2014,97.36
4/8/2014,97.42
4/9/2014,97.85
4/10/2014,96.63
4/11/2014,96.27
4/14/2014,96.09
4/15/2014,95.78
4/16/2014,97.35
4/17/2014,98
4/21/2014,98.9
4/22/2014,99
4/23/2014,99.24
4/24/2014,98.64
4/25/2014,97.4
4/28/2014,98.26
4/29/2014,98.01
4/30/2014,98.5
5/1/2014,98.11
5/2/2014,98.56
5/5/2014,97.95
5/6/2014,97.38
5/7/2014,98.83
5/8/2014,98.99
5/9/2014,99.76
5/12/2014,101.51
5/13/2014,102.51
5/14/2014,102.04
5/15/2014,100.46
5/16/2014,101.33
5/19/2014,101.39
5/20/2014,100.53
5/21/2014,101.74
5/22/2014,101.66
5/23/2014,102.73
5/27/2014,103.17
5/28/2014,103.41
5/29/2014,104.06
5/30/2014,103.88
6/2/2014,104.08
6/3/2014,103.43
6/4/2014,102.97
6/5/2014,103.62
6/6/2014,103.59
6/9/2014,103.49
6/10/2014,102.91
6/11/2014,102.5
6/12/2014,100.89
6/13/2014,101.03
6/16/2014,101.18
6/17/2014,101.61
6/18/2014,102.79
